"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009141","BP","GO:0009141","nucleoside triphosphate metabolic process","30/475","267/18903",7.28823609747683e-12,2.24253418383902e-09,2.09972016476296e-09,"3303/3304/7114/521/230/5214/527/514/4708/54539/51079/506/9551/3939/93974/498/513/4714/126328/509/10632/5208/517/522/4729/54541/4831/518/515/4718",30
"GO:0009060","BP","GO:0009060","aerobic respiration","24/475","194/18903",1.28685395633056e-10,3.67672558951589e-08,3.44257622302567e-08,"1329/51142/521/2631/514/4708/54539/51079/506/9551/498/10975/1337/513/4714/126328/509/10632/522/246269/4729/1351/515/4718",24
"GO:0009150","BP","GO:0009150","purine ribonucleotide metabolic process","36/475","447/18903",8.45403167026592e-10,2.25440844540424e-07,2.11083822335482e-07,"3303/3304/7114/8460/521/230/5214/527/3094/514/4708/54539/51079/506/2987/9551/3939/93974/498/513/4714/5163/126328/509/25874/10632/5208/517/522/4729/54541/4831/518/515/4718/1969",36
"GO:0072522","BP","GO:0072522","purine-containing compound biosynthetic process","26/475","251/18903",1.10859336068771e-09,2.77148340171928e-07,2.594983669294e-07,"7114/521/527/514/4708/54539/51079/506/2987/9551/498/513/4714/5163/126328/509/4507/25874/10632/517/522/4729/4831/518/515/4718",26
"GO:0009152","BP","GO:0009152","purine ribonucleotide biosynthetic process","24/475","220/18903",1.72689997199873e-09,4.06329405176172e-07,3.804526377939e-07,"7114/521/527/514/4708/54539/51079/506/9551/498/513/4714/5163/126328/509/25874/10632/517/522/4729/4831/518/515/4718",24
"GO:0006164","BP","GO:0006164","purine nucleotide biosynthetic process","25/475","242/18903",2.46136978255474e-09,5.44813654680445e-07,5.10117627198164e-07,"7114/521/527/514/4708/54539/51079/506/2987/9551/498/513/4714/5163/126328/509/25874/10632/517/522/4729/4831/518/515/4718",25
"GO:0009259","BP","GO:0009259","ribonucleotide metabolic process","36/475","466/18903",2.58786485973211e-09,5.44813654680445e-07,5.10117627198164e-07,"3303/3304/7114/8460/521/230/5214/527/3094/514/4708/54539/51079/506/2987/9551/3939/93974/498/513/4714/5163/126328/509/25874/10632/5208/517/522/4729/54541/4831/518/515/4718/1969",36
"GO:0019693","BP","GO:0019693","ribose phosphate metabolic process","36/475","475/18903",4.29641362291321e-09,8.59282724582641e-07,8.04559982648694e-07,"3303/3304/7114/8460/521/230/5214/527/3094/514/4708/54539/51079/506/2987/9551/3939/93974/498/513/4714/5163/126328/509/25874/10632/5208/517/522/4729/54541/4831/518/515/4718/1969",36
"GO:0006163","BP","GO:0006163","purine nucleotide metabolic process","36/475","476/18903",4.54139522011612e-09,8.650276609745e-07,8.09939057301913e-07,"3303/3304/7114/8460/521/230/5214/527/3094/514/4708/54539/51079/506/2987/9551/3939/93974/498/513/4714/5163/126328/509/25874/10632/5208/517/522/4729/54541/4831/518/515/4718/1969",36
"GO:0009260","BP","GO:0009260","ribonucleotide biosynthetic process","24/475","234/18903",5.94483680283096e-09,1.08087941869654e-06,1.01204446624271e-06,"7114/521/527/514/4708/54539/51079/506/9551/498/513/4714/5163/126328/509/25874/10632/517/522/4729/4831/518/515/4718",24
"GO:0045333","BP","GO:0045333","cellular respiration","24/475","240/18903",9.80026885523351e-09,1.70439458351887e-06,1.59585156004214e-06,"1329/51142/521/2631/514/4708/54539/51079/506/9551/498/10975/1337/513/4714/126328/509/10632/522/246269/4729/1351/515/4718",24
"GO:0046390","BP","GO:0046390","ribose phosphate biosynthetic process","24/475","241/18903",1.06343301818341e-08,1.77238836363902e-06,1.65951520995464e-06,"7114/521/527/514/4708/54539/51079/506/9551/498/513/4714/5163/126328/509/25874/10632/517/522/4729/4831/518/515/4718",24
"GO:1902600","BP","GO:1902600","proton transmembrane transport","18/475","160/18903",1.18404731233241e-07,1.89447569973185e-05,1.77382751043314e-05,"1329/7114/521/527/514/506/9551/440400/498/1337/513/509/10632/517/522/518/1351/515",18
"GO:0009165","BP","GO:0009165","nucleotide biosynthetic process","25/475","304/18903",2.28661653546525e-07,3.51787159302346e-05,3.29383871788881e-05,"7114/521/527/514/4708/54539/51079/506/2987/9551/498/513/4714/5163/126328/509/25874/10632/517/522/4729/4831/518/515/4718",25
"GO:1901293","BP","GO:1901293","nucleoside phosphate biosynthetic process","25/475","306/18903",2.58929003919544e-07,3.8359852432525e-05,3.59169355144537e-05,"7114/521/527/514/4708/54539/51079/506/2987/9551/498/513/4714/5163/126328/509/25874/10632/517/522/4729/4831/518/515/4718",25
"GO:0002181","BP","GO:0002181","cytoplasmic translation","16/475","161/18903",3.13199486334559e-06,0.000447427837620798,0.000418933749014421,"6232/6209/6171/1973/4736/10399/1981/6139/6122/6154/6173/6133/3192/6142/6144/6175",16
"GO:0015980","BP","GO:0015980","energy derivation by oxidation of organic compounds","24/475","333/18903",4.12324092804053e-06,0.00056872288662628,0.000532504218583238,"1329/51142/521/2631/514/4708/54539/51079/506/9551/498/10975/1337/513/4714/126328/509/10632/522/246269/4729/1351/515/4718",24
"GO:0006458","BP","GO:0006458","'de novo' protein folding","7/475","41/18903",6.49202452717946e-05,0.00865603270290594,0.0081047800939314,"3303/3304/3337/9403/3336/30001/2280",7
"GO:0048545","BP","GO:0048545","response to steroid hormone","21/475","339/18903",0.000145856360767946,0.0188201755829607,0.0176216275589932,"3303/3304/7538/2353/677/7533/23081/8611/266743/2354/6750/133/64754/4747/79447/498/3192/10628/112398/54541/7043",21
"GO:0042773","BP","GO:0042773","ATP synthesis coupled electron transport","10/475","101/18903",0.000227595862347196,0.0275873772542056,0.0258304969132799,"1329/51142/4708/10975/1337/4714/246269/4729/1351/4718",10
"GO:0042775","BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","10/475","101/18903",0.000227595862347196,0.0275873772542056,0.0258304969132799,"1329/51142/4708/10975/1337/4714/246269/4729/1351/4718",10
"GO:0051084","BP","GO:0051084","'de novo' post-translational protein folding","6/475","37/18903",0.000292624882867836,0.0344264568079807,0.0322340350849461,"3303/3304/3337/9403/3336/30001",6
"GO:1900151","BP","GO:1900151","regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","5/475","26/18903",0.000416940873747328,0.0476503855711233,0.0446158083847517,"7538/677/10140/3192/11044",5
"GO:0071385","BP","GO:0071385","cellular response to glucocorticoid stimulus","7/475","55/18903",0.00043301182489554,0.0481124249883933,0.0450484231865009,"7538/677/266743/64754/498/3192/54541",7
"GO:0098800","CC","GO:0098800","inner mitochondrial membrane protein complex","27/491","158/19869",2.01315012522034e-15,1.00254876235973e-12,8.79428738912044e-13,"1329/521/514/4708/54539/51079/506/9551/498/10975/1337/513/4714/126328/509/25874/10632/517/440574/522/4729/91689/125988/518/1351/515/4718",27
"GO:0005753","CC","GO:0005753","mitochondrial proton-transporting ATP synthase complex","12/491","21/19869",1.09075851329854e-14,2.71598869811338e-12,2.38244622641524e-12,"521/514/506/9551/498/513/509/10632/517/522/518/515",12
"GO:0045259","CC","GO:0045259","proton-transporting ATP synthase complex","12/491","22/19869",2.34627907968097e-14,3.89482327227041e-12,3.41651164234246e-12,"521/514/506/9551/498/513/509/10632/517/522/518/515",12
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex","33/491","295/19869",4.67367672421384e-13,5.81872752164623e-11,5.10414694881248e-11,"1329/521/514/4708/54539/51079/506/9551/78988/54998/498/10975/1337/513/26517/4714/5163/126328/509/25874/10632/517/440574/522/4729/91689/9692/125988/518/1351/515/100188893/4718",33
"GO:0016469","CC","GO:0016469","proton-transporting two-sector ATPase complex","14/491","50/19869",1.09488501685139e-11,1.09050547678399e-09,9.56583751564902e-10,"521/527/514/506/9551/440400/498/513/509/10632/517/522/518/515",14
"GO:0033177","CC","GO:0033177","proton-transporting two-sector ATPase complex, proton-transporting domain","9/491","26/19869",6.86886688845094e-09,5.70115951741428e-07,5.00101712053884e-07,"521/527/9551/440400/10632/517/522/518/515",9
"GO:0045263","CC","GO:0045263","proton-transporting ATP synthase complex, coupling factor F(o)","7/491","14/19869",1.59303824015414e-08,1.13333291942395e-06,9.94151683705217e-07,"521/9551/10632/517/522/518/515",7
"GO:0005743","CC","GO:0005743","mitochondrial inner membrane","35/491","498/19869",3.22707797613032e-08,2.00885604014112e-06,1.76215442117642e-06,"1329/521/150209/514/4708/54539/51079/506/9551/78988/54998/498/10975/1337/513/26517/4714/126328/509/25874/10632/517/440574/522/4729/91689/84129/51241/125988/79934/518/647087/1351/515/4718",35
"GO:0000276","CC","GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","6/491","11/19869",9.18741854051473e-08,5.08370492575148e-06,4.45939028574692e-06,"521/10632/517/522/518/515",6
"GO:0022626","CC","GO:0022626","cytosolic ribosome","14/491","105/19869",3.09316440933292e-07,1.5403958758478e-05,1.35122445249807e-05,"6232/6209/347/6171/4736/10399/6139/6122/6154/6173/6133/6142/6144/6175",14
"GO:0005940","CC","GO:0005940","septin ring","6/491","14/19869",5.60553662342145e-07,2.3262976987199e-05,2.04061201642097e-05,"989/23176/55752/4735/10801/5414",6
"GO:0031105","CC","GO:0031105","septin complex","6/491","14/19869",5.60553662342145e-07,2.3262976987199e-05,2.04061201642097e-05,"989/23176/55752/4735/10801/5414",6
"GO:0032156","CC","GO:0032156","septin cytoskeleton","6/491","16/19869",1.43310726831576e-06,5.48990322785575e-05,4.81570458583838e-05,"989/23176/55752/4735/10801/5414",6
"GO:0022625","CC","GO:0022625","cytosolic large ribosomal subunit","10/491","59/19869",1.64464254128753e-06,5.85022846829422e-05,5.13177935815283e-05,"6171/4736/6139/6122/6154/6173/6133/6142/6144/6175",10
"GO:0005746","CC","GO:0005746","mitochondrial respirasome","12/491","94/19869",3.45026623582106e-06,0.000114548839029259,0.000100481437744964,"1329/4708/54539/51079/10975/1337/4714/126328/4729/647087/1351/4718",12
"GO:0070469","CC","GO:0070469","respirasome","12/491","101/19869",7.36736968345683e-06,0.000229309381397594,0.000201148580173328,"1329/4708/54539/51079/10975/1337/4714/126328/4729/647087/1351/4718",12
"GO:0098803","CC","GO:0098803","respiratory chain complex","11/491","91/19869",1.49520107253111e-05,0.00043800596124735,0.000384215755480132,"1329/4708/54539/51079/10975/1337/4714/126328/4729/1351/4718",11
"GO:0005840","CC","GO:0005840","ribosome","18/491","232/19869",2.0034159809859e-05,0.0005542784214061,0.000486209141584298,"6232/6209/347/6171/4736/10399/728655/6139/6122/78988/6154/6173/6133/54998/6142/6144/6175/51187",18
"GO:0044391","CC","GO:0044391","ribosomal subunit","15/491","188/19869",7.07246223564915e-05,0.00185372957544909,0.00162607857495534,"6232/6209/6171/4736/10399/6139/6122/78988/6154/6173/6133/54998/6142/6144/6175",15
"GO:0033178","CC","GO:0033178","proton-transporting two-sector ATPase complex, catalytic domain","5/491","19/19869",7.8812394806085e-05,0.00196242863067152,0.00172142862339607,"514/506/498/513/509",5
"GO:0016607","CC","GO:0016607","nuclear speck","24/491","419/19869",0.000130859922306757,0.00299250008283472,0.00262500007266204,"3303/55604/3304/55914/5071/51631/4301/80271/64326/6657/7919/5300/1647/6426/57223/23517/3192/55671/54439/64771/51329/55421/199746/6891",24
"GO:0015934","CC","GO:0015934","large ribosomal subunit","11/491","115/19869",0.000132198798840088,0.00299250008283472,0.00262500007266204,"6171/4736/6139/6122/78988/6154/6173/6133/6142/6144/6175",11
"GO:0005747","CC","GO:0005747","mitochondrial respiratory chain complex I","7/491","49/19869",0.000188631778442945,0.00375754502658346,0.00329609212858198,"4708/54539/51079/4714/126328/4729/4718",7
"GO:0030964","CC","GO:0030964","NADH dehydrogenase complex","7/491","49/19869",0.000188631778442945,0.00375754502658346,0.00329609212858198,"4708/54539/51079/4714/126328/4729/4718",7
"GO:0045271","CC","GO:0045271","respiratory chain complex I","7/491","49/19869",0.000188631778442945,0.00375754502658346,0.00329609212858198,"4708/54539/51079/4714/126328/4729/4718",7
"GO:0005665","CC","GO:0005665","RNA polymerase II, core complex","4/491","15/19869",0.000404879415626699,0.00775499803777292,0.00680262985769554,"548644/5438/5437/5434",4
"GO:1990204","CC","GO:1990204","oxidoreductase complex","10/491","125/19869",0.0010904924044236,0.0201135265704797,0.0176434443600699,"4708/54539/51079/3939/10975/4714/5163/126328/4729/4718",10
"GO:0005844","CC","GO:0005844","polysome","7/491","66/19869",0.00119296507934149,0.0212177360540022,0.0186120491701773,"6171/4736/1981/6173/6142/5687/5682",7
"GO:0071203","CC","GO:0071203","WASH complex","3/491","10/19869",0.0015811874648402,0.0271528054307041,0.0238182503778106,"100287171/23325/51019",3
"GO:0031300","CC","GO:0031300","intrinsic component of organelle membrane","21/491","420/19869",0.00189786588164956,0.0315045736353827,0.0276355909082304,"8460/51495/8675/23204/5864/3133/9215/89941/25874/440574/51114/91689/201158/3106/51241/26580/6891/125988/80856/647087/79188",21
"GO:0005741","CC","GO:0005741","mitochondrial outer membrane","13/491","207/19869",0.0019920021246574,0.0318378970587844,0.0279279798761267,"5071/2631/89941/23111/374986/517/440574/5414/26056/125988/518/647087/100188893",13
"GO:0031901","CC","GO:0031901","early endosome membrane","12/491","183/19869",0.00204580864634759,0.0318378970587844,0.0279279798761267,"57732/23516/10410/27342/100287171/3133/5371/23325/5878/51019/3106/26056",12
"GO:0046933","MF","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","11/471","17/18432",2.91334048260528e-14,1.85288454693696e-11,1.68973747991106e-11,"521/527/514/506/9551/498/513/509/10632/522/515",11
"GO:0015252","MF","GO:0015252","proton channel activity","11/471","24/18432",4.99755434125613e-12,1.58922228051945e-09,1.44929075896428e-09,"521/527/514/506/9551/498/513/509/10632/522/515",11
"GO:0015078","MF","GO:0015078","proton transmembrane transporter activity","16/471","136/18432",4.02076612644342e-07,8.52402418806004e-05,7.7734811777906e-05,"1329/521/527/514/506/9551/498/1337/513/509/10632/517/522/518/1351/515",16
"GO:0003735","MF","GO:0003735","structural constituent of ribosome","14/471","176/18432",0.000177552937147885,0.024929824525312,0.0227347456362908,"6232/6209/6171/4736/6139/6122/78988/6154/6173/6133/6142/6144/6175/51187",14
"GO:0042288","MF","GO:0042288","MHC class I protein binding","5/471","22/18432",0.000195989186519748,0.024929824525312,0.0227347456362908,"3133/506/498/29990/6891",5
