"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016469","CC","GO:0016469","proton-transporting two-sector ATPase complex","12/360","50/19869",6.82036795050194e-11,9.38937321185767e-09,8.63913273730246e-09,"521/527/514/506/9551/498/513/509/10632/517/440400/522",12
"GO:0005940","CC","GO:0005940","septin ring","6/360","14/19869",9.01618278471436e-08,7.44736698017406e-06,6.85229891638292e-06,"989/23176/55752/4735/10801/5414",6
"GO:0031105","CC","GO:0031105","septin complex","6/360","14/19869",9.01618278471436e-08,7.44736698017406e-06,6.85229891638292e-06,"989/23176/55752/4735/10801/5414",6
"GO:0098800","CC","GO:0098800","inner mitochondrial membrane protein complex","15/360","158/19869",1.96322045356903e-07,1.35135007887335e-05,1.24337295392705e-05,"521/514/506/9551/51079/498/513/4714/509/10975/10632/517/440574/522/126328",15
"GO:0032156","CC","GO:0032156","septin cytoskeleton","6/360","16/19869",2.3315935200382e-07,1.37564017682254e-05,1.26572219659217e-05,"989/23176/55752/4735/10801/5414",6
"GO:0033177","CC","GO:0033177","proton-transporting two-sector ATPase complex, proton-transporting domain","7/360","26/19869",2.95711461405323e-07,1.52661041950498e-05,1.40462944167528e-05,"521/527/9551/10632/517/440400/522",7
"GO:0045263","CC","GO:0045263","proton-transporting ATP synthase complex, coupling factor F(o)","5/360","14/19869",3.3238728206503e-06,0.000152528830547619,0.000140341296871902,"521/9551/10632/517/522",5
"GO:0033178","CC","GO:0033178","proton-transporting two-sector ATPase complex, catalytic domain","5/360","19/19869",1.79161849411239e-05,0.000739938438068417,0.000680815027762708,"514/506/498/513/509",5
"GO:0022626","CC","GO:0022626","cytosolic ribosome","10/360","105/19869",2.11053132473713e-05,0.000792408579196757,0.000729092639454643,"6232/6171/347/10399/6139/6154/6144/6173/6133/6122",10
"GO:0000276","CC","GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","4/360","11/19869",3.16274677826916e-05,0.00108851201618764,0.00100153647978523,"521/10632/517/522",4
"GO:0022625","CC","GO:0022625","cytosolic large ribosomal subunit","7/360","59/19869",9.17990169305292e-05,0.00291638415325451,0.00268335587950778,"6171/6139/6154/6144/6173/6133/6122",7
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex","15/360","295/19869",0.000339598115914824,0.0100181444194873,0.0092176631462595,"521/514/506/9551/51079/498/513/4714/509/10975/10632/517/440574/522/126328",15
"GO:0071203","CC","GO:0071203","WASH complex","3/360","10/19869",0.000643955562126624,0.0176674908501237,0.0162558027192422,"100287171/23325/51019",3
"GO:0016607","CC","GO:0016607","nuclear speck","18/360","419/19869",0.000684454851336512,0.0176674908501237,0.0162558027192422,"3303/55604/55914/3304/5071/51631/80271/4301/64326/6657/7919/57223/23517/55671/54439/64771/55421/199746",18
"GO:0032153","CC","GO:0032153","cell division site","6/360","72/19869",0.00193999871643837,0.0471305570522969,0.0433646771909753,"989/23176/55752/4735/10801/5414",6
"GO:0046933","MF","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","10/337","17/18432",6.34630968154094e-14,3.52854818293676e-11,3.28004005645958e-11,"521/527/514/506/9551/498/513/509/10632/522",10
"GO:0015252","MF","GO:0015252","proton channel activity","10/337","24/18432",5.71173047566014e-12,1.58786107223352e-09,1.47603140186796e-09,"521/527/514/506/9551/498/513/509/10632/522",10
"GO:0015078","MF","GO:0015078","proton transmembrane transporter activity","11/337","136/18432",4.13196530611872e-05,0.0076579090340067,0.0071185788256291,"521/527/514/506/9551/498/513/509/10632/517/522",11
"GO:0072542","MF","GO:0072542","protein phosphatase activator activity","4/337","16/18432",0.000167893973512461,0.0233372623182321,0.0216936686827943,"805/57223/5524/55671",4
"GO:0016874","MF","GO:0016874","ligase activity","11/337","165/18432",0.000233600552126691,0.025976381396488,0.024146920230359,"521/527/514/506/9551/498/513/509/10632/522/26140",11
