"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05214","hsa05214","Glioma","4/236","75/8644",0.148323273823048,0.684416970591083,0.649486598886275,"805/6464/1647/1026",4
"hsa04068","hsa04068","FoxO signaling pathway","6/236","131/8644",0.14844429003117,0.684416970591083,0.649486598886275,"11345/1647/1026/23678/7043/11337",6
"hsa04650","hsa04650","Natural killer cell mediated cytotoxicity","6/236","132/8644",0.152211612865357,0.684416970591083,0.649486598886275,"355/6464/5534/3133/3106/100507436",6
"hsa05220","hsa05220","Chronic myeloid leukemia","4/236","76/8644",0.153437486898101,0.684416970591083,0.649486598886275,"6464/1647/1026/7043",4
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection","9/236","222/8644",0.153577303673245,0.684416970591083,0.649486598886275,"7538/2353/5534/1958/3133/1026/51529/7043/3106",9
"hsa00565","hsa00565","Ether lipid metabolism","3/236","50/8644",0.155549311497973,0.684416970591083,0.649486598886275,"8613/8611/85465",3
"hsa05163","hsa05163","Human cytomegalovirus infection","9/236","225/8644",0.162370708610776,0.697326081144305,0.661736871261342,"805/6347/355/2785/5534/3133/1026/3106/6891",9
"hsa04380","hsa04380","Osteoclast differentiation","6/236","135/8644",0.163765973602072,0.697326081144305,0.661736871261342,"2353/9021/5534/2354/3727/10379",6
"hsa05320","hsa05320","Autoimmune thyroid disease","3/236","53/8644",0.175612635793529,0.724697864307159,0.687711689414289,"355/3133/3106",3
"hsa05162","hsa05162","Measles","6/236","138/8644",0.175684330741129,0.724697864307159,0.687711689414289,"3303/3304/2353/355/10399/10379",6
"hsa00600","hsa00600","Sphingolipid metabolism","3/236","54/8644",0.18245540913248,0.72516626880483,0.688156188100277,"8613/8611/10715",3
"hsa04141","hsa04141","Protein processing in endoplasmic reticulum","7/236","170/8644",0.183073366322243,0.72516626880483,0.688156188100277,"3303/3304/5071/3337/30001/10273/56605",7
"hsa05145","hsa05145","Toxoplasmosis","5/236","111/8644",0.186486119584887,0.72516626880483,0.688156188100277,"3303/3304/3949/7043/4261",5
"hsa05164","hsa05164","Influenza A","7/236","171/8644",0.186785251055789,0.72516626880483,0.688156188100277,"6347/9021/355/3337/5371/10379/4261",7
"hsa05134","hsa05134","Legionellosis","3/236","56/8644",0.196348090286371,0.751244867182637,0.712903821329615,"3303/3304/1937",3
"hsa04668","hsa04668","TNF signaling pathway","5/236","114/8644",0.20073925585547,0.75707376494063,0.718435231482735,"6347/2353/9021/355/3659",5
"hsa00030","hsa00030","Pentose phosphate pathway","2/236","31/8644",0.207038215628076,0.7620690794685,0.72317560172848,"230/5214",2
"hsa05210","hsa05210","Colorectal cancer","4/236","86/8644",0.207880429377687,0.7620690794685,0.72317560172848,"2353/1647/1026/7043",4
"hsa05224","hsa05224","Breast cancer","6/236","147/8644",0.2134218971745,0.7620690794685,0.72317560172848,"388585/2353/6464/1647/1026/1857",6
"hsa04260","hsa04260","Cardiac muscle contraction","4/236","87/8644",0.213610272275261,0.7620690794685,0.72317560172848,"1329/10975/1337/1351",4
"hsa05152","hsa05152","Tuberculosis","7/236","180/8644",0.2215198361264,0.779749823164926,0.739953978920464,"805/1509/527/5534/5878/7043/4261",7
"hsa05131","hsa05131","Shigellosis","9/236","247/8644",0.233585034958653,0.811400647751109,0.769989450417719,"989/960/23176/55752/4735/87/10801/5217/199746",9
"hsa03040","hsa03040","Spliceosome","8/236","216/8644",0.237948169345275,0.814173291696488,0.772620587814052,"3303/3304/7919/6426/3178/3192/51690/199746",8
"hsa04621","hsa04621","NOD-like receptor signaling pathway","7/236","186/8644",0.245862604927573,0.814173291696488,0.772620587814052,"55914/6347/2633/11345/10628/11337/10379",7
"hsa03250","hsa03250","Viral life cycle - HIV-1","3/236","63/8644",0.246719179301966,0.814173291696488,0.772620587814052,"22936/684/5300",3
"hsa05217","hsa05217","Basal cell carcinoma","3/236","63/8644",0.246719179301966,0.814173291696488,0.772620587814052,"1647/1026/1857",3
"hsa04390","hsa04390","Hippo signaling pathway","6/236","157/8644",0.25827800752076,0.84179498747507,0.798832563871877,"7533/6657/5515/7043/7005/1857",6
"hsa05216","hsa05216","Thyroid cancer","2/236","37/8644",0.268000936140582,0.854022448230082,0.81043597559314,"1647/1026",2
"hsa04713","hsa04713","Circadian entrainment","4/236","97/8644",0.272979481365899,0.854022448230082,0.81043597559314,"805/2353/2785/51655",4
"hsa00010","hsa00010","Glycolysis / Gluconeogenesis","3/236","67/8644",0.276353142077351,0.854022448230082,0.81043597559314,"230/5214/3939",3
"hsa05416","hsa05416","Viral myocarditis","3/236","67/8644",0.276353142077351,0.854022448230082,0.81043597559314,"3133/1981/3106",3
"hsa05340","hsa05340","Primary immunodeficiency","2/236","38/8644",0.278204282377981,0.854022448230082,0.81043597559314,"4261/6891",2
"hsa04114","hsa04114","Oocyte meiosis","5/236","131/8644",0.287280737162941,0.871748443804786,0.827257295157652,"805/7533/5534/5515/51529",5
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications","4/236","100/8644",0.291342770680415,0.873397785349214,0.828822459781152,"6347/1958/2335/7043",4
"hsa05165","hsa05165","Human papillomavirus infection","11/236","331/8644",0.294440920060909,0.873397785349214,0.828822459781152,"388585/355/527/3133/2335/1026/3659/5515/3106/10379/1857",11
"hsa05230","hsa05230","Central carbon metabolism in cancer","3/236","70/8644",0.298807720592323,0.876502647070814,0.831768859660501,"5214/3939/5163",3
"hsa03440","hsa03440","Homologous recombination","2/236","41/8644",0.308731411921526,0.878344834707954,0.833517028151886,"9577/7979",2
"hsa04216","hsa04216","Ferroptosis","2/236","41/8644",0.308731411921526,0.878344834707954,0.833517028151886,"2879/23516",2
"hsa05225","hsa05225","Hepatocellular carcinoma","6/236","168/8644",0.310190693756237,0.878344834707954,0.833517028151886,"6464/1647/1026/6601/7043/1857",6
"hsa04210","hsa04210","Apoptosis","5/236","136/8644",0.314030561587677,0.878344834707954,0.833517028151886,"2353/1509/355/1647/5414",5
"hsa04625","hsa04625","C-type lectin receptor signaling pathway","4/236","104/8644",0.31607105794415,0.878344834707954,0.833517028151886,"805/5534/3659/10379",4
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action","4/236","106/8644",0.328506812488276,0.895280448756147,0.849588304641001,"2353/1958/3727/1026",4
"hsa04975","hsa04975","Fat digestion and absorption","2/236","43/8644",0.328947740641463,0.895280448756147,0.849588304641001,"8613/8611",2
"hsa04962","hsa04962","Vasopressin-regulated water reabsorption","2/236","44/8644",0.338997495232687,0.913217742259484,0.866610138188824,"6844/5878",2
"hsa05212","hsa05212","Pancreatic cancer","3/236","76/8644",0.343927115607413,0.917138974953101,0.870331244173995,"1647/1026/7043",3
"hsa00360","hsa00360","Phenylalanine metabolism","1/236","16/8644",0.35808476330566,0.945343775126942,0.897096564913127,"4282",1
"hsa04724","hsa04724","Glutamatergic synapse","4/236","115/8644",0.384634228724212,0.971486841212644,0.921905375632413,"2785/5534/157/156",4
"hsa05226","hsa05226","Gastric cancer","5/236","149/8644",0.384688785110843,0.971486841212644,0.921905375632413,"6464/1647/1026/7043/1857",5
"hsa00511","hsa00511","Other glycan degradation","1/236","18/8644",0.392722841727216,0.971486841212644,0.921905375632413,"4123",1
"hsa05110","hsa05110","Vibrio cholerae infection","2/236","50/8644",0.398164702082731,0.971486841212644,0.921905375632413,"527/30001",2
"hsa05144","hsa05144","Malaria","2/236","50/8644",0.398164702082731,0.971486841212644,0.921905375632413,"6347/7043",2
"hsa04979","hsa04979","Cholesterol metabolism","2/236","51/8644",0.407797738255517,0.971486841212644,0.921905375632413,"51129/3949",2
"hsa04935","hsa04935","Growth hormone synthesis, secretion and action","4/236","120/8644",0.415640211655465,0.971486841212644,0.921905375632413,"2353/9021/6464/6750",4
"hsa00270","hsa00270","Cysteine and methionine metabolism","2/236","52/8644",0.417355867006323,0.971486841212644,0.921905375632413,"3939/4507",2
"hsa04911","hsa04911","Insulin secretion","3/236","86/8644",0.418335345761559,0.971486841212644,0.921905375632413,"885/6844/5864",3
"hsa04152","hsa04152","AMPK signaling pathway","4/236","121/8644",0.421804640425898,0.971486841212644,0.921905375632413,"5214/5208/92335/5515",4
"hsa04150","hsa04150","mTOR signaling pathway","5/236","156/8644",0.422753617412466,0.971486841212644,0.921905375632413,"96459/92335/54541/729438/1857",5
"hsa00100","hsa00100","Steroid biosynthesis","1/236","20/8644",0.425499324287601,0.971486841212644,0.921905375632413,"1595",1
"hsa04514","hsa04514","Cell adhesion molecules","5/236","158/8644",0.433564718865066,0.971486841212644,0.921905375632413,"3133/8506/64115/25945/3106",5
"hsa04512","hsa04512","ECM-receptor interaction","3/236","89/8644",0.440173144688959,0.971486841212644,0.921905375632413,"960/2335/80144",3
"hsa04727","hsa04727","GABAergic synapse","3/236","89/8644",0.440173144688959,0.971486841212644,0.921905375632413,"2785/11345/11337",3
"hsa05032","hsa05032","Morphine addiction","3/236","91/8644",0.454558154111346,0.971486841212644,0.921905375632413,"2785/157/156",3
"hsa05222","hsa05222","Small cell lung cancer","3/236","92/8644",0.461693549039606,0.971486841212644,0.921905375632413,"2335/1647/1026",3
"hsa04014","hsa04014","Ras signaling pathway","7/236","236/8644",0.466418427427453,0.971486841212644,0.921905375632413,"805/4301/6464/2785/1942/5878/1969",7
"hsa04520","hsa04520","Adherens junction","3/236","93/8644",0.468788783731368,0.971486841212644,0.921905375632413,"4301/87/25945",3
"hsa04140","hsa04140","Autophagy - animal","5/236","165/8644",0.471026356995938,0.971486841212644,0.921905375632413,"1509/11345/5515/54541/11337",5
"hsa03060","hsa03060","Protein export","1/236","23/8644",0.471390073527506,0.971486841212644,0.921905375632413,"6728",1
"hsa05213","hsa05213","Endometrial cancer","2/236","58/8644",0.472973370470182,0.971486841212644,0.921905375632413,"1647/1026",2
"hsa04630","hsa04630","JAK-STAT signaling pathway","5/236","166/8644",0.476319061471449,0.971486841212644,0.921905375632413,"2670/9021/9180/1026/10379",5
"hsa04370","hsa04370","VEGF signaling pathway","2/236","59/8644",0.481932331541722,0.971486841212644,0.921905375632413,"3315/5534",2
"hsa05203","hsa05203","Viral carcinogenesis","6/236","204/8644",0.485437822150431,0.971486841212644,0.921905375632413,"7533/3133/87/1026/3106/10379",6
"hsa04728","hsa04728","Dopaminergic synapse","4/236","132/8644",0.488339115517452,0.971486841212644,0.921905375632413,"805/2353/2785/5515",4
"hsa04978","hsa04978","Mineral absorption","2/236","60/8644",0.490797354236875,0.971486841212644,0.921905375632413,"4501/4494",2
"hsa03015","hsa03015","mRNA surveillance pathway","3/236","97/8644",0.496739435093618,0.971486841212644,0.921905375632413,"7919/5515/23435",3
"hsa04213","hsa04213","Longevity regulating pathway - multiple species","2/236","61/8644",0.499566874926276,0.971486841212644,0.921905375632413,"3303/3304",2
"hsa01522","hsa01522","Endocrine resistance","3/236","98/8644",0.503612909647172,0.971486841212644,0.921905375632413,"2353/6464/1026",3
"hsa05231","hsa05231","Choline metabolism in cancer","3/236","98/8644",0.503612909647172,0.971486841212644,0.921905375632413,"8613/2353/8611",3
"hsa04330","hsa04330","Notch signaling pathway","2/236","62/8644",0.508239484391468,0.971486841212644,0.921905375632413,"388585/1857",2
"hsa00564","hsa00564","Glycerophospholipid metabolism","3/236","99/8644",0.510438277519621,0.971486841212644,0.921905375632413,"8613/8611/85465",3
"hsa04015","hsa04015","Rap1 signaling pathway","6/236","210/8644",0.513785867292214,0.971486841212644,0.921905375632413,"805/4301/1942/51735/5217/1969",6
"hsa00561","hsa00561","Glycerolipid metabolism","2/236","63/8644",0.516813920623911,0.971486841212644,0.921905375632413,"8613/8611",2
"hsa04910","hsa04910","Insulin signaling pathway","4/236","137/8644",0.517566584401822,0.971486841212644,0.921905375632413,"805/9021/6464/9322",4
"hsa04151","hsa04151","PI3K-Akt signaling pathway","10/236","359/8644",0.520540092155473,0.971486841212644,0.921905375632413,"7533/9180/2785/2335/1942/1026/23678/5515/54541/1969",10
"hsa00062","hsa00062","Fatty acid elongation","1/236","27/8644",0.526948425738386,0.971486841212644,0.921905375632413,"51495",1
"hsa01040","hsa01040","Biosynthesis of unsaturated fatty acids","1/236","27/8644",0.526948425738386,0.971486841212644,0.921905375632413,"51495",1
"hsa04966","hsa04966","Collecting duct acid secretion","1/236","27/8644",0.526948425738386,0.971486841212644,0.921905375632413,"527",1
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis","4/236","139/8644",0.529040890321059,0.971486841212644,0.921905375632413,"805/6347/2353/1843",4
"hsa04720","hsa04720","Long-term potentiation","2/236","67/8644",0.550109464933436,0.971486841212644,0.921905375632413,"805/5534",2
"hsa04392","hsa04392","Hippo signaling pathway - multiple species","1/236","29/8644",0.552506668225719,0.971486841212644,0.921905375632413,"7005",1
"hsa04744","hsa04744","Phototransduction","1/236","29/8644",0.552506668225719,0.971486841212644,0.921905375632413,"805",1
"hsa04920","hsa04920","Adipocytokine signaling pathway","2/236","69/8644",0.56614508555075,0.971486841212644,0.921905375632413,"9021/4852",2
"hsa04924","hsa04924","Renin secretion","2/236","69/8644",0.56614508555075,0.971486841212644,0.921905375632413,"805/5534",2
"hsa03013","hsa03013","Nucleocytoplasmic transport","3/236","108/8644",0.569536810005825,0.971486841212644,0.921905375632413,"7919/9818/11097",3
"hsa04931","hsa04931","Insulin resistance","3/236","108/8644",0.569536810005825,0.971486841212644,0.921905375632413,"10724/9021/5524",3
"hsa04024","hsa04024","cAMP signaling pathway","6/236","225/8644",0.581827467328575,0.971486841212644,0.921905375632413,"805/2353/5348/4301/6750/4852",6
"hsa05034","hsa05034","Alcoholism","5/236","188/8644",0.587277054575188,0.971486841212644,0.921905375632413,"805/6464/2785/2354/4852",5
"hsa00052","hsa00052","Galactose metabolism","1/236","32/8644",0.588288466197245,0.971486841212644,0.921905375632413,"5214",1
"hsa00640","hsa00640","Propanoate metabolism","1/236","32/8644",0.588288466197245,0.971486841212644,0.921905375632413,"3939",1
"hsa04215","hsa04215","Apoptosis - multiple species","1/236","32/8644",0.588288466197245,0.971486841212644,0.921905375632413,"5414",1
"hsa05218","hsa05218","Melanoma","2/236","72/8644",0.589422215983638,0.971486841212644,0.921905375632413,"1647/1026",2
"hsa05223","hsa05223","Non-small cell lung cancer","2/236","72/8644",0.589422215983638,0.971486841212644,0.921905375632413,"1647/1026",2
"hsa01524","hsa01524","Platinum drug resistance","2/236","73/8644",0.596973270429628,0.971486841212644,0.921905375632413,"355/1026",2
"hsa04062","hsa04062","Chemokine signaling pathway","5/236","192/8644",0.606067492680549,0.971486841212644,0.921905375632413,"6347/6464/2785/157/156",5
"hsa04921","hsa04921","Oxytocin signaling pathway","4/236","154/8644",0.610506312727219,0.971486841212644,0.921905375632413,"805/2353/5534/1026",4
"hsa04710","hsa04710","Circadian rhythm","1/236","34/8644",0.610545337419476,0.971486841212644,0.921905375632413,"4783",1
"hsa01230","hsa01230","Biosynthesis of amino acids","2/236","75/8644",0.611762988632398,0.971486841212644,0.921905375632413,"230/5214",2
"hsa04623","hsa04623","Cytosolic DNA-sensing pathway","2/236","75/8644",0.611762988632398,0.971486841212644,0.921905375632413,"5437/5434",2
"hsa04934","hsa04934","Cushing syndrome","4/236","155/8644",0.615623447314212,0.971486841212644,0.921905375632413,"3949/51655/1026/1857",4
"hsa04971","hsa04971","Gastric acid secretion","2/236","76/8644",0.619001796011452,0.971486841212644,0.921905375632413,"805/6750",2
"hsa05140","hsa05140","Leishmaniasis","2/236","77/8644",0.626136786321092,0.971486841212644,0.921905375632413,"2353/7043",2
"hsa00040","hsa00040","Pentose and glucuronate interconversions","1/236","36/8644",0.6316038387686,0.971486841212644,0.921905375632413,"729920",1
"hsa00350","hsa00350","Tyrosine metabolism","1/236","36/8644",0.6316038387686,0.971486841212644,0.921905375632413,"4282",1
"hsa04722","hsa04722","Neurotrophin signaling pathway","3/236","119/8644",0.635519829973886,0.971486841212644,0.921905375632413,"805/6464/27018",3
"hsa00250","hsa00250","Alanine, aspartate and glutamate metabolism","1/236","37/8644",0.641703919397156,0.971486841212644,0.921905375632413,"8659",1
"hsa05143","hsa05143","African trypanosomiasis","1/236","37/8644",0.641703919397156,0.971486841212644,0.921905375632413,"355",1
"hsa04071","hsa04071","Sphingolipid signaling pathway","3/236","121/8644",0.646734543357989,0.971486841212644,0.921905375632413,"1509/10715/5515",3
"hsa04660","hsa04660","T cell receptor signaling pathway","3/236","121/8644",0.646734543357989,0.971486841212644,0.921905375632413,"2353/5534/5515",3
"hsa05161","hsa05161","Hepatitis B","4/236","162/8644",0.650262071846392,0.971486841212644,0.921905375632413,"2353/355/1026/7043",4
"hsa04662","hsa04662","B cell receptor signaling pathway","2/236","84/8644",0.673203269833745,0.971486841212644,0.921905375632413,"2353/5534",2
"hsa05219","hsa05219","Bladder cancer","1/236","41/8644",0.679420552813086,0.971486841212644,0.921905375632413,"1026",1
"hsa01232","hsa01232","Nucleotide metabolism","2/236","85/8644",0.679521568017931,0.971486841212644,0.921905375632413,"2987/4831",2
"hsa04012","hsa04012","ErbB signaling pathway","2/236","85/8644",0.679521568017931,0.971486841212644,0.921905375632413,"6464/1026",2
"hsa04610","hsa04610","Complement and coagulation cascades","2/236","86/8644",0.685740287595464,0.971486841212644,0.921905375632413,"710/715",2
"hsa04530","hsa04530","Tight junction","4/236","170/8644",0.68724785648896,0.971486841212644,0.921905375632413,"4301/87/51735/5515",4
"hsa04926","hsa04926","Relaxin signaling pathway","3/236","129/8644",0.689137908252067,0.971486841212644,0.921905375632413,"2353/6464/2785",3
"hsa05235","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","2/236","89/8644",0.703806173095183,0.971486841212644,0.921905375632413,"2353/5534",2
"hsa02010","hsa02010","ABC transporters","1/236","45/8644",0.713181926566661,0.971486841212644,0.921905375632413,"6891",1
