"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00480","hsa00480","Glutathione metabolism","1/167","57/8644",0.672299934493043,0.935872067902247,0.90470984007736,"2879",1
"hsa01212","hsa01212","Fatty acid metabolism","1/167","57/8644",0.672299934493043,0.935872067902247,0.90470984007736,"51495",1
"hsa04935","hsa04935","Growth hormone synthesis, secretion and action","2/167","120/8644",0.678380185736164,0.937464361420302,0.906249114154964,"9021/6464",2
"hsa04660","hsa04660","T cell receptor signaling pathway","2/167","121/8644",0.682800136241443,0.937464361420302,0.906249114154964,"5534/5515",2
"hsa04370","hsa04370","VEGF signaling pathway","1/167","59/8644",0.684922941609118,0.937464361420302,0.906249114154964,"5534",1
"hsa04730","hsa04730","Long-term depression","1/167","60/8644",0.69105198863897,0.940598540091932,0.909278932419698,"5515",1
"hsa00590","hsa00590","Arachidonic acid metabolism","1/167","61/8644",0.697062510295225,0.943537652057073,0.912120179217364,"2879",1
"hsa00140","hsa00140","Steroid hormone biosynthesis","1/167","62/8644",0.702956785115299,0.946287979962903,0.91477892799851,"51478",1
"hsa04927","hsa04927","Cortisol synthesis and secretion","1/167","65/8644",0.719964265744915,0.9484329592255,0.916852484750752,"3949",1
"hsa05321","hsa05321","Inflammatory bowel disease","1/167","65/8644",0.719964265744915,0.9484329592255,0.916852484750752,"7043",1
"hsa04142","hsa04142","Lysosome","2/167","132/8644",0.728214674799965,0.9484329592255,0.916852484750752,"1509/527",2
"hsa04728","hsa04728","Dopaminergic synapse","2/167","132/8644",0.728214674799965,0.9484329592255,0.916852484750752,"805/5515",2
"hsa00010","hsa00010","Glycolysis / Gluconeogenesis","1/167","67/8644",0.730761203403581,0.9484329592255,0.916852484750752,"230",1
"hsa05221","hsa05221","Acute myeloid leukemia","1/167","67/8644",0.730761203403581,0.9484329592255,0.916852484750752,"5371",1
"hsa04270","hsa04270","Vascular smooth muscle contraction","2/167","134/8644",0.735858095791695,0.9484329592255,0.916852484750752,"805/133",2
"hsa00830","hsa00830","Retinol metabolism","1/167","68/8644",0.736003465153797,0.9484329592255,0.916852484750752,"51109",1
"hsa05120","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","1/167","70/8644",0.746185528103724,0.9484329592255,0.916852484750752,"527",1
"hsa05322","hsa05322","Systemic lupus erythematosus","2/167","137/8644",0.746981732408549,0.9484329592255,0.916852484750752,"87/6738",2
"hsa04510","hsa04510","Focal adhesion","3/167","203/8644",0.756536724107385,0.9484329592255,0.916852484750752,"2012/6464/87",3
"hsa00562","hsa00562","Inositol phosphate metabolism","1/167","73/8644",0.760731202752255,0.9484329592255,0.916852484750752,"80271",1
"hsa01524","hsa01524","Platinum drug resistance","1/167","73/8644",0.760731202752255,0.9484329592255,0.916852484750752,"1026",1
