"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072522","BP","GO:0072522","purine-containing compound biosynthetic process","35/873","251/18903",5.24754260535392e-09,1.08738208943986e-06,1.02957506403443e-06,"7114/521/226/4507/51144/514/513/527/65990/134145/498/506/509/517/4729/10632/4714/10476/126328/4725/515/51079/4713/55967/522/54539/6622/4694/5166/4698/4715/4704/201163/4709/201562",35
"GO:0046390","BP","GO:0046390","ribose phosphate biosynthetic process","34/873","241/18903",6.4181242399418e-09,1.27453250531511e-06,1.20677625511537e-06,"7114/521/226/51144/514/513/527/65990/134145/498/506/509/517/4729/10632/4714/10476/126328/4725/515/51079/4713/55967/522/54539/6622/4694/5166/4698/4715/4704/201163/4709/201562",34
"GO:0006164","BP","GO:0006164","purine nucleotide biosynthetic process","34/873","242/18903",7.14457787589869e-09,1.36204232626133e-06,1.28963390964117e-06,"7114/521/226/51144/514/513/527/65990/134145/498/506/509/517/4729/10632/4714/10476/126328/4725/515/51079/4713/55967/522/54539/6622/4694/5166/4698/4715/4704/201163/4709/201562",34
"GO:0022900","BP","GO:0022900","electron transport chain","28/873","176/18903",9.80187995926364e-09,1.79675999560963e-06,1.70124127066248e-06,"8659/246269/4697/1350/1329/51142/29796/4729/1345/4714/92014/1347/1340/7388/4725/11315/27089/4713/54949/55967/6622/54205/440567/4694/4698/4715/4704/4709",28
"GO:1902600","BP","GO:1902600","proton transmembrane transport","26/873","160/18903",2.10086599098331e-08,3.70841752334314e-06,3.51127193112884e-06,"7114/521/514/513/527/4697/65990/134145/498/506/1329/29796/509/517/10632/10476/1340/7388/529/11315/292/515/10159/522/51382/481",26
"GO:0002181","BP","GO:0002181","cytoplasmic translation","26/873","161/18903",2.39761876664574e-08,4.08108965779772e-06,3.86413220022943e-06,"1973/1981/6230/3192/6161/6173/6232/6233/8531/6135/6171/6165/6194/9045/6224/2197/6159/4736/6138/6208/7311/6202/6128/6156/6217/6132",26
"GO:0009165","BP","GO:0009165","nucleotide biosynthetic process","37/873","304/18903",7.5538422699423e-08,1.24143490546707e-05,1.17543817826652e-05,"7114/521/226/51144/514/513/527/65990/134145/498/506/509/517/4729/10632/4714/10476/102157402/55739/126328/4725/197258/515/51079/4713/55967/522/54539/6622/4694/5166/4698/4715/4704/201163/4709/201562",37
"GO:1901293","BP","GO:1901293","nucleoside phosphate biosynthetic process","37/873","306/18903",8.95210141522145e-08,1.42219051149818e-05,1.34658451814226e-05,"7114/521/226/51144/514/513/527/65990/134145/498/506/509/517/4729/10632/4714/10476/102157402/55739/126328/4725/197258/515/51079/4713/55967/522/54539/6622/4694/5166/4698/4715/4704/201163/4709/201562",37
"GO:0009150","BP","GO:0009150","purine ribonucleotide metabolic process","45/873","447/18903",8.18813682378817e-07,0.000125886000329595,0.000119193692915382,"3303/3304/7114/5208/521/230/226/51144/514/513/527/65990/134145/498/506/3094/509/517/4729/5214/137964/10632/4714/10476/126328/4725/669/515/51079/5223/4713/55967/522/54539/6622/4694/5166/481/4698/57103/4715/4704/201163/4709/201562",45
"GO:0010257","BP","GO:0010257","NADH dehydrogenase complex assembly","13/873","59/18903",2.23478479667278e-06,0.00032275710124068,0.000305598801382335,"284184/4714/126328/4725/51079/4713/55967/54539/4694/4698/4715/4704/4709",13
"GO:0032981","BP","GO:0032981","mitochondrial respiratory chain complex I assembly","13/873","59/18903",2.23478479667278e-06,0.00032275710124068,0.000305598801382335,"284184/4714/126328/4725/51079/4713/55967/54539/4694/4698/4715/4704/4709",13
"GO:0009259","BP","GO:0009259","ribonucleotide metabolic process","45/873","466/18903",2.53418795964224e-06,0.00035523352398985,0.000336348723931464,"3303/3304/7114/5208/521/230/226/51144/514/513/527/65990/134145/498/506/3094/509/517/4729/5214/137964/10632/4714/10476/126328/4725/669/515/51079/5223/4713/55967/522/54539/6622/4694/5166/481/4698/57103/4715/4704/201163/4709/201562",45
"GO:0006120","BP","GO:0006120","mitochondrial electron transport, NADH to ubiquinone","12/873","51/18903",2.62018391127932e-06,0.000356794186318778,0.000337826418876825,"4697/4729/4714/4725/11315/4713/6622/4694/4698/4715/4704/4709",12
"GO:0019693","BP","GO:0019693","ribose phosphate metabolic process","45/873","475/18903",4.2028927977549e-06,0.000556416307613885,0.000526836298946645,"3303/3304/7114/5208/521/230/226/51144/514/513/527/65990/134145/498/506/3094/509/517/4729/5214/137964/10632/4714/10476/126328/4725/669/515/51079/5223/4713/55967/522/54539/6622/4694/5166/481/4698/57103/4715/4704/201163/4709/201562",45
"GO:0006163","BP","GO:0006163","purine nucleotide metabolic process","45/873","476/18903",4.44097340875268e-06,0.000572045385570683,0.000541634509340618,"3303/3304/7114/5208/521/230/226/51144/514/513/527/65990/134145/498/506/3094/509/517/4729/5214/137964/10632/4714/10476/126328/4725/669/515/51079/5223/4713/55967/522/54539/6622/4694/5166/481/4698/57103/4715/4704/201163/4709/201562",45
"GO:0006123","BP","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","8/873","24/18903",7.61268576478378e-06,0.000954791061972618,0.000904032794283326,"246269/4697/1350/1329/1345/1347/1340/54205",8
"GO:0033108","BP","GO:0033108","mitochondrial respiratory chain complex assembly","16/873","99/18903",1.15573768120668e-05,0.0014123707150336,0.00133728675825453,"647087/284184/4714/126328/4725/51079/4713/54949/55967/54539/4694/4698/51241/4715/4704/4709",16
"GO:0045830","BP","GO:0045830","positive regulation of isotype switching","8/873","28/18903",2.72874270740881e-05,0.0032512969358776,0.00307845262806884,"7468/51111/149840/8741/54537/7037/84787/23529",8
"GO:0045191","BP","GO:0045191","regulation of isotype switching","9/873","38/18903",4.45906914166699e-05,0.0051612061460092,0.00488682791438069,"7468/51111/149840/8741/54537/7037/84787/604/23529",9
"GO:0071248","BP","GO:0071248","cellular response to metal ion","23/873","198/18903",4.54827230659644e-05,0.0051612061460092,0.00488682791438069,"84059/5071/2353/3726/3725/3727/3707/6857/6647/4493/131034/55532/4495/567/2354/25932/7341/6622/3756/57103/825/4494/10156",23
"GO:0071241","BP","GO:0071241","cellular response to inorganic substance","25/873","229/18903",6.1050994610196e-05,0.00676672186772545,0.00640699177218875,"84059/5071/2353/3726/3725/3727/498/3707/6857/6647/4493/131034/55532/4495/567/2354/25932/7341/6622/51507/3756/57103/825/4494/10156",25
"GO:0002714","BP","GO:0002714","positive regulation of B cell mediated immunity","9/873","42/18903",0.000103330114976742,0.0109438072884256,0.010362016442229,"7468/51111/149840/5819/8741/54537/7037/84787/23529",9
"GO:0002891","BP","GO:0002891","positive regulation of immunoglobulin mediated immune response","9/873","42/18903",0.000103330114976742,0.0109438072884256,0.010362016442229,"7468/51111/149840/5819/8741/54537/7037/84787/23529",9
"GO:0050808","BP","GO:0050808","synapse organization","38/873","432/18903",0.000113927883274556,0.0118039193844899,0.0111764035605955,"577/23284/8404/4038/6092/575/10082/1981/22859/40/3084/22829/7846/2596/5800/5864/23657/51086/53942/100528062/23237/22941/2915/6623/23544/26280/56132/26059/56127/5300/2561/6622/26167/9758/2904/266743/81926/4747",38
"GO:0007416","BP","GO:0007416","synapse assembly","21/873","184/18903",0.00012355446117797,0.0123724706089175,0.0117147296641627,"577/23284/4038/6092/575/10082/1981/40/3084/22829/2596/53942/100528062/22941/26280/56132/56127/2561/6622/26167/266743",21
"GO:0000289","BP","GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening","8/873","34/18903",0.000124607341424263,0.0123724706089175,0.0117147296641627,"23318/27327/7538/23034/11044/79670/64282/25904",8
"GO:0071277","BP","GO:0071277","cellular response to calcium ion","13/873","87/18903",0.000171305293012011,0.0166620617652091,0.0157762790793231,"84059/2353/3726/3725/3727/3707/6857/131034/2354/25932/3756/825/10156",13
"GO:1901021","BP","GO:1901021","positive regulation of calcium ion transmembrane transporter activity","9/873","45/18903",0.000181378273419256,0.0172889770223235,0.0163698664873337,"5534/805/2631/9001/808/6262/375346/7341/481",9
"GO:0032411","BP","GO:0032411","positive regulation of transporter activity","16/873","126/18903",0.000228455733767775,0.0213494122968082,0.0202144423253344,"5534/7114/805/4697/65990/134145/2631/9001/808/6262/23237/375346/11315/5243/7341/481",16
"GO:2000116","BP","GO:2000116","regulation of cysteine-type endopeptidase activity","24/873","235/18903",0.00023739580406746,0.0217582385035676,0.0206015346566235,"3491/6657/96459/1509/3164/23204/3082/9812/59082/2903/3092/3336/11315/10542/22861/51079/25824/117584/6622/10550/54205/2904/355/1285",24
"GO:0019722","BP","GO:0019722","calcium-mediated signaling","22/873","208/18903",0.000260009865859379,0.0228848171825298,0.0216682225548303,"5534/805/22859/3094/3084/51643/2903/576/808/6262/79772/1012/375346/6546/2915/1827/10523/83988/481/1131/2904/283455",22
"GO:0000288","BP","GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","11/873","68/18903",0.000262952799904087,0.0228848171825298,0.0216682225548303,"23318/27327/7538/23034/3192/677/11044/79670/64282/25904/25819",11
"GO:0032414","BP","GO:0032414","positive regulation of ion transmembrane transporter activity","15/873","115/18903",0.000264092518891972,0.0228848171825298,0.0216682225548303,"5534/7114/805/4697/65990/134145/2631/9001/808/6262/23237/375346/5243/7341/481",15
"GO:2001032","BP","GO:2001032","regulation of double-strand break repair via nonhomologous end joining","7/873","29/18903",0.000279525183244189,0.0237895897025322,0.0225248958753353,"7468/51111/149840/54537/84787/51149/78996",7
"GO:0006122","BP","GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","5/873","14/18903",0.000293276026050269,0.0245219919325541,0.0232183623947831,"29796/7388/27089/54205/440567",5
"GO:0008089","BP","GO:0008089","anterograde axonal transport","9/873","49/18903",0.000356449303032035,0.0292902996250117,0.0277331789854507,"3315/9001/6647/118426/2647/26258/63915/5874/4747",9
"GO:0002562","BP","GO:0002562","somatic diversification of immune receptors via germline recombination within a single locus","11/873","71/18903",0.000387280978873702,0.0306754574636039,0.0290446995486604,"7468/51111/149840/8741/54537/7037/84787/9730/604/23529/78996",11
"GO:0016444","BP","GO:0016444","somatic cell DNA recombination","11/873","71/18903",0.000387280978873702,0.0306754574636039,0.0290446995486604,"7468/51111/149840/8741/54537/7037/84787/9730/604/23529/78996",11
"GO:0034767","BP","GO:0034767","positive regulation of ion transmembrane transport","20/873","186/18903",0.000392614961242097,0.0306754574636039,0.0290446995486604,"5534/7114/805/5348/23204/4697/65990/134145/2631/9001/808/6262/23237/375346/5243/7341/6622/7070/481/825",20
"GO:0042182","BP","GO:0042182","ketone catabolic process","5/873","15/18903",0.000423247218527373,0.0325354232822816,0.0308057865165848,"347862/883/56267/25953/11315",5
"GO:0045911","BP","GO:0045911","positive regulation of DNA recombination","11/873","72/18903",0.000438363958773339,0.0330780323817043,0.0313195496213014,"7468/51111/149840/441161/8741/54537/7037/84787/23529/51149/84717",11
"GO:0016447","BP","GO:0016447","somatic recombination of immunoglobulin gene segments","10/873","61/18903",0.000444186754601149,0.0330780323817043,0.0313195496213014,"7468/51111/149840/8741/54537/7037/84787/604/23529/78996",10
"GO:0022898","BP","GO:0022898","regulation of transmembrane transporter activity","27/873","291/18903",0.000472275184708161,0.0346286696972168,0.0327877524994961,"5534/7114/805/5348/255057/6844/4697/65990/134145/2631/9001/2257/57190/7533/808/6262/7881/23237/375346/2915/11315/5243/7341/6622/481/1131/401152",27
"GO:0046688","BP","GO:0046688","response to copper ion","8/873","41/18903",0.000492559589848615,0.035209402757589,0.0333376128325163,"513/6647/4493/7037/4495/11315/6622/4494",8
"GO:0042246","BP","GO:0042246","tissue regeneration","11/873","73/18903",0.000494970622064302,0.035209402757589,0.0333376128325163,"6657/9215/57190/2596/347/861/346007/10413/84717/825/59352",11
"GO:0043281","BP","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","21/873","205/18903",0.000545354640386652,0.0382229443541586,0.036190949587269,"3491/6657/96459/1509/3164/23204/3082/9812/3092/3336/11315/10542/22861/51079/25824/117584/6622/10550/54205/355/1285",21
"GO:0010823","BP","GO:0010823","negative regulation of mitochondrion organization","9/873","52/18903",0.00056404281906495,0.0389598271835297,0.0368886585100144,"5071/3303/3082/7037/292/28978/57103/201163/54978",9
"GO:0070935","BP","GO:0070935","3'-UTR-mediated mRNA stabilization","6/873","24/18903",0.000627280532372887,0.0413042673329876,0.0391084643542015,"7538/1994/11044/8531/64282/23435",6
"GO:0002204","BP","GO:0002204","somatic recombination of immunoglobulin genes involved in immune response","9/873","53/18903",0.000651996924024415,0.0413042673329876,0.0391084643542015,"7468/51111/149840/8741/54537/7037/84787/604/23529",9
"GO:0002208","BP","GO:0002208","somatic diversification of immunoglobulins involved in immune response","9/873","53/18903",0.000651996924024415,0.0413042673329876,0.0391084643542015,"7468/51111/149840/8741/54537/7037/84787/604/23529",9
"GO:0045190","BP","GO:0045190","isotype switching","9/873","53/18903",0.000651996924024415,0.0413042673329876,0.0391084643542015,"7468/51111/149840/8741/54537/7037/84787/604/23529",9
"GO:0002712","BP","GO:0002712","regulation of B cell mediated immunity","10/873","64/18903",0.000658649667920071,0.0413042673329876,0.0391084643542015,"7468/51111/149840/5819/8741/54537/7037/84787/604/23529",10
"GO:0002889","BP","GO:0002889","regulation of immunoglobulin mediated immune response","10/873","64/18903",0.000658649667920071,0.0413042673329876,0.0391084643542015,"7468/51111/149840/5819/8741/54537/7037/84787/604/23529",10
"GO:0098930","BP","GO:0098930","axonal transport","10/873","64/18903",0.000658649667920071,0.0413042673329876,0.0391084643542015,"3315/9001/6647/7345/118426/2647/26258/63915/5874/4747",10
"GO:0010038","BP","GO:0010038","response to metal ion","31/873","360/18903",0.000673319236000788,0.04167583738675,0.0394602811310373,"84059/5071/2353/805/513/3726/3725/3727/3707/5515/6857/6647/4493/7037/131034/55532/808/6262/4495/11315/567/2354/25932/7341/6622/3756/57103/825/4494/10156/51596",31
"GO:0030388","BP","GO:0030388","fructose 1,6-bisphosphate metabolic process","4/873","10/18903",0.000758631888059434,0.0463543535704008,0.0438900796776085,"230/226/5214/57103",4
"GO:0008088","BP","GO:0008088","axo-dendritic transport","11/873","77/18903",0.000786190160574911,0.0469920441563295,0.0444938695801808,"3315/3192/9001/6647/7345/118426/2647/26258/63915/5874/4747",11
"GO:0006089","BP","GO:0006089","lactate metabolic process","5/873","17/18903",0.000807426234144952,0.0469920441563295,0.0444938695801808,"5208/347862/25953/11315/57103",5
"GO:0051412","BP","GO:0051412","response to corticosterone","5/873","17/18903",0.000807426234144952,0.0469920441563295,0.0444938695801808,"2353/808/2354/266743/4747",5
"GO:0021762","BP","GO:0021762","substantia nigra development","8/873","44/18903",0.000808507683763958,0.0469920441563295,0.0444938695801808,"805/6271/7533/808/1340/10409/515/522",8
"GO:0098800","CC","GO:0098800","inner mitochondrial membrane protein complex","36/914","158/19869",8.67865681301863e-16,5.15512214693307e-13,4.49463068632123e-13,"521/514/513/4697/100652748/498/1350/506/1329/29796/509/517/4729/125988/1345/10632/4714/1347/10476/1340/7388/126328/4725/27089/515/51079/4713/55967/522/54539/440567/4694/4698/4715/4704/4709",36
"GO:0070469","CC","GO:0070469","respirasome","25/914","101/19869",3.07786266392954e-12,8.04828819591167e-10,7.01711464183686e-10,"4697/1350/647087/1329/29796/4729/1345/4714/1347/1340/7388/126328/4725/27089/51079/4713/55967/54539/54205/440567/4694/4698/4715/4704/4709",25
"GO:0005746","CC","GO:0005746","mitochondrial respirasome","24/914","94/19869",4.06479201813721e-12,8.04828819591167e-10,7.01711464183686e-10,"4697/1350/647087/1329/29796/4729/1345/4714/1347/1340/7388/126328/4725/27089/51079/4713/55967/54539/440567/4694/4698/4715/4704/4709",24
"GO:0098803","CC","GO:0098803","respiratory chain complex","23/914","91/19869",1.42862846947492e-11,2.12151327717026e-09,1.84969791310963e-09,"4697/1350/1329/29796/4729/1345/4714/1347/1340/7388/126328/4725/27089/51079/4713/55967/54539/440567/4694/4698/4715/4704/4709",23
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex","43/914","295/19869",1.95068755307549e-11,2.31741681305368e-09,2.0205016339224e-09,"521/514/513/64968/4697/100652748/498/1350/506/1329/28957/29796/509/9692/517/4729/125988/1345/10632/4714/1347/10476/1340/7388/51650/126328/6182/4725/27089/292/515/51079/4713/55967/522/54539/440567/4694/4698/4715/4704/4709/9553",43
"GO:0022626","CC","GO:0022626","cytosolic ribosome","24/914","105/19869",5.15408133866164e-11,5.10254052527502e-09,4.44878599758162e-09,"6230/6161/6173/6232/6233/6135/6171/6165/6194/9045/347/6224/2197/6159/6166/4736/6138/6208/7311/6202/6128/6156/6217/6132",24
"GO:0005753","CC","GO:0005753","mitochondrial proton-transporting ATP synthase complex","11/914","21/19869",4.24794052070676e-10,3.60468095614259e-08,3.14283719727477e-08,"521/514/513/498/506/509/517/10632/10476/515/522",11
"GO:0005743","CC","GO:0005743","mitochondrial inner membrane","56/914","498/19869",6.21346657276512e-10,4.6134989302781e-08,4.02240204447426e-08,"5625/521/514/513/150209/64968/4697/84129/100652748/134145/498/1350/647087/506/1329/9812/28957/29796/509/517/4729/123096/79934/125988/1345/10632/4714/92014/1347/10476/1340/7388/51650/126328/92170/6182/4725/27089/292/79568/81554/515/51079/4713/55967/522/54539/54205/440567/4694/4698/51241/4715/4704/4709/9553",56
"GO:0045259","CC","GO:0045259","proton-transporting ATP synthase complex","11/914","22/19869",8.14268561774408e-10,5.37417250771109e-08,4.68561558354396e-08,"521/514/513/498/506/509/517/10632/10476/515/522",11
"GO:0016469","CC","GO:0016469","proton-transporting two-sector ATPase complex","15/914","50/19869",3.87469745295371e-09,2.30157028705451e-07,2.00668541774024e-07,"521/514/513/527/498/506/509/517/10632/10476/529/515/10159/522/51382",15
"GO:0005747","CC","GO:0005747","mitochondrial respiratory chain complex I","14/914","49/19869",2.57960499801841e-08,1.17868105294072e-06,1.02766450123487e-06,"4697/4729/4714/126328/4725/51079/4713/55967/54539/4694/4698/4715/4704/4709",14
"GO:0030964","CC","GO:0030964","NADH dehydrogenase complex","14/914","49/19869",2.57960499801841e-08,1.17868105294072e-06,1.02766450123487e-06,"4697/4729/4714/126328/4725/51079/4713/55967/54539/4694/4698/4715/4704/4709",14
"GO:0045271","CC","GO:0045271","respiratory chain complex I","14/914","49/19869",2.57960499801841e-08,1.17868105294072e-06,1.02766450123487e-06,"4697/4729/4714/126328/4725/51079/4713/55967/54539/4694/4698/4715/4704/4709",14
"GO:0005840","CC","GO:0005840","ribosome","32/914","232/19869",2.85377798267805e-08,1.2108172297934e-06,1.05568328381774e-06,"64968/6230/728655/6161/6173/6232/28957/6233/6135/6171/6165/10985/6194/9045/347/6224/2197/6159/6166/4736/6138/51650/92170/6182/6208/7311/6202/6128/6156/6217/6132/9553",32
"GO:0044391","CC","GO:0044391","ribosomal subunit","28/914","188/19869",3.96990464489463e-08,1.57208223937827e-06,1.3706618142373e-06,"64968/6230/6161/6173/6232/28957/6233/6135/6171/6165/6194/9045/6224/2197/6159/6166/4736/6138/51650/6182/6208/7311/6202/6128/6156/6217/6132/9553",28
"GO:0022625","CC","GO:0022625","cytosolic large ribosomal subunit","14/914","59/19869",3.30714836514086e-07,1.22777883055854e-05,1.07047170766401e-05,"6161/6173/6135/6171/6165/9045/6159/6166/4736/6138/7311/6128/6156/6132",14
"GO:1990351","CC","GO:1990351","transporter complex","41/914","405/19869",2.01058957911881e-06,7.02523652939162e-05,6.12513977044245e-05,"805/5348/6526/26047/80333/4697/5524/773/1804/29796/4729/84230/2903/808/6262/4714/7881/7388/2569/126328/4725/27089/5205/25932/51079/4713/55967/2890/2561/54539/440567/4694/481/4698/2904/3756/4715/4704/4709/55144/51761",41
"GO:1902495","CC","GO:1902495","transmembrane transporter complex","39/914","379/19869",2.39302972313988e-06,7.89699808636161e-05,6.88520832622703e-05,"805/5348/6526/26047/80333/4697/5524/773/1804/29796/4729/84230/2903/808/6262/4714/7881/7388/2569/126328/4725/27089/25932/51079/4713/55967/2890/2561/54539/440567/4694/481/4698/2904/3756/4715/4704/4709/55144",39
